Partners,Partnership Career Span,Partnership Career Start,Partnership Career End,Number Of Partnerships,Unbroken Partnerships,Total Partnership Runs,Highest Partnership,Avg Partnership Per Dismissal,Century Partnerships,Fifty Runs And Over Partnerships,Country
"GA Hick, AJ Stewart",1992-2001,1992,2001,24,1,930,134,40.43,2,6,England
"RA Smith, AJ Stewart",1989-1996,1989,1996,29,1,910,103,32.50,2,5,England
"ME Trescothick, MP Vaughan",2001-2005,2001,2005,31,2,904,140,31.17,2,6,England
"MA Atherton, AJ Stewart",1994-1997,1994,1997,22,0,888,112,40.36,2,5,England
"AN Cook, C Kieswetter",2010-2012,2010,2012,20,1,879,171*,46.26,2,6,England
"AJ Lamb, RA Smith",1989-1992,1989,1992,24,0,858,103,35.75,1,7,England
"AJ Strauss, IJL Trott",2009-2011,2009,2011,17,0,842,250,49.52,2,3,England
"AN Cook, KP Pietersen",2007-2013,2007,2013,17,0,831,170,48.88,2,4,England
"GA Hick, N Hussain",1994-2000,1994,2000,17,1,813,190,50.81,3,3,England
"JM Bairstow, JJ Roy",2015-2018,2015,2018,17,0,789,156,46.41,3,4,England
"GA Gooch, RA Smith",1989-1993,1989,1993,18,1,772,113,45.41,2,4,England
"KP Pietersen, AJ Strauss",2004-2011,2004,2011,20,1,765,105,40.26,1,6,England
"RS Bopara, EJG Morgan",2009-2015,2009,2015,22,2,762,226*,38.10,1,5,England
"GA Hick, RA Smith",1992-1996,1992,1996,22,2,751,116,37.55,1,5,England
"GA Hick, NV Knight",1997-2001,1997,2001,26,1,743,113,29.72,1,5,England
"VS Solanki, ME Trescothick",2003-2006,2003,2006,23,0,727,200,31.60,2,2,England
"G Boycott, GA Gooch",1979-1981,1979,1981,19,1,721,154,40.05,2,1,England
"JM Bairstow, JE Root",2016-2018,2016,2018,13,2,720,190,65.45,3,0,England
"A Flintoff, AJ Strauss",2004-2006,2004,2006,13,2,718,226,65.27,2,2,England
"BC Broad, GA Gooch",1987-1988,1987,1988,13,0,712,118,54.76,2,6,England
"MA Atherton, GA Hick",1991-1996,1991,1996,20,0,698,144,34.90,1,5,England
"MW Gatting, GA Gooch",1981-1989,1981,1989,13,0,685,117,52.69,1,7,England
"PD Collingwood, AJ Strauss",2004-2011,2004,2011,17,1,680,210,42.50,2,2,England
"AJ Stewart, ME Trescothick",2000-2003,2000,2003,20,1,676,171*,35.57,1,2,England
"GA Gooch, DI Gower",1979-1991,1979,1991,23,0,664,202,28.86,2,2,England
"N Hussain, ME Trescothick",2000-2003,2000,2003,13,0,659,185,50.69,2,4,England
"GA Hick, GP Thorpe",1993-2001,1993,2001,19,1,649,143,36.05,1,3,England
"AN Cook, IJL Trott",2011-2013,2011,2013,16,0,645,83,40.31,0,6,England
"GA Gooch, AJ Stewart",1990-1993,1990,1993,14,0,632,98,45.14,0,6,England
"N Hussain, AJ Stewart",1997-2003,1997,2003,21,1,630,175,31.50,1,4,England
"PD Collingwood, EJG Morgan",2009-2011,2009,2011,17,3,625,93,44.64,0,4,England
"IT Botham, GA Gooch",1979-1992,1979,1992,19,0,621,116,32.68,2,3,England
"GA Gooch, W Larkins",1980-1991,1980,1991,16,0,618,185,38.62,1,3,England
"CWJ Athey, BC Broad",1987-1988,1987,1988,17,0,613,121,36.05,2,2,England
"G Boycott, P Willey",1979-1980,1979,1980,8,0,583,135,72.87,3,3,England
"IR Bell, PD Collingwood",2005-2011,2005,2011,18,1,570,133,33.52,1,3,England
"JE Root, IJL Trott",2013-2013,2013,2013,7,1,553,121*,92.16,2,4,England
"MM Ali, IR Bell",2014-2015,2014,2015,11,0,546,172,49.63,2,2,England
"IR Bell, MJ Prior",2004-2011,2004,2011,16,2,546,101,39.00,1,4,England
"RS Bopara, AJ Strauss",2009-2010,2009,2010,13,0,531,108,40.84,1,3,England
"JE Root, BA Stokes",2014-2018,2014,2018,16,2,531,132,37.92,1,3,England
"IT Botham, AJ Lamb",1982-1992,1982,1992,17,0,529,106,31.11,1,0,England
"JC Buttler, CR Woakes",2013-2018,2013,2018,11,2,529,138,58.77,2,2,England
"KP Pietersen, IJL Trott",2009-2013,2009,2013,18,0,506,101,28.11,1,2,England
"JC Buttler, BA Stokes",2013-2018,2013,2018,15,2,502,77,38.61,0,4,England
"AJ Strauss, MP Vaughan",2004-2007,2004,2007,18,2,502,84,31.37,0,3,England
"JM Bairstow, AD Hales",2017-2018,2017,2018,12,1,501,155,45.54,2,0,England
"MA Atherton, GA Gooch",1990-1995,1990,1995,12,0,494,156,41.16,1,3,England
"AJ Stewart, GP Thorpe",1993-2002,1993,2002,14,2,492,170,41.00,1,2,England
"MM Ali, JC Buttler",2014-2018,2014,2018,14,3,490,78,44.54,0,4,England
"IR Bell, EJG Morgan",2010-2014,2010,2014,15,1,487,84*,34.78,0,4,England
"MA Atherton, RA Smith",1990-1996,1990,1996,10,0,483,147,48.30,2,2,England
"IT Botham, DI Gower",1978-1987,1978,1987,21,2,483,98,25.42,0,3,England
"EJG Morgan, JWA Taylor",2013-2015,2013,2015,12,0,467,133,38.91,2,1,England
"BC Broad, RT Robinson",1987-1988,1987,1988,7,0,463,140,66.14,1,3,England
"A Flintoff, KP Pietersen",2005-2008,2005,2008,16,0,462,158,28.87,1,2,England
"DI Gower, CJ Tavare",1980-1983,1980,1983,16,0,462,66,28.87,0,3,England
"MA Atherton, GP Thorpe",1994-1997,1994,1997,14,0,458,90,32.71,0,4,England
"IR Bell, RS Bopara",2007-2012,2007,2012,11,0,457,98,41.54,0,3,England
"NH Fairbrother, RA Smith",1992-1993,1992,1993,8,1,453,129,64.71,1,4,England
"PD Collingwood, GO Jones",2004-2006,2004,2006,12,3,451,116,50.11,2,2,England
"GA Gooch, AJ Lamb",1985-1991,1985,1991,15,1,441,78,31.50,0,4,England
"DI Gower, DW Randall",1979-1984,1979,1984,9,0,435,113,48.33,2,2,England
"MJ Prior, AJ Strauss",2005-2011,2005,2011,20,1,432,66,22.73,0,2,England
"RS Bopara, AN Cook",2007-2012,2007,2012,8,0,430,131,53.75,1,3,England
"RS Bopara, IJL Trott",2010-2012,2010,2012,13,2,426,99,38.72,0,3,England
"CWJ Athey, GA Gooch",1980-1987,1980,1987,6,0,422,193,70.33,1,3,England
"MJ Prior, OA Shah",2006-2009,2006,2009,8,0,422,149,52.75,1,2,England
"N Hussain, GP Thorpe",1997-2002,1997,2002,10,1,414,123,46.00,1,2,England
"G Fowler, CJ Tavare",1983-1984,1983,1984,9,0,412,115,45.77,1,3,England
"AJ Lamb, CJ Tavare",1982-1983,1982,1983,8,1,411,190*,58.71,2,0,England
"IR Bell, JE Root",2013-2015,2013,2015,12,0,409,121,34.08,1,2,England
"JE Root, CR Woakes",2013-2018,2013,2018,10,3,406,102*,58.00,1,2,England
"NH Fairbrother, AJ Stewart",1992-1999,1992,1999,9,1,393,94,49.12,0,4,England
"KP Pietersen, OA Shah",2007-2009,2007,2009,10,1,392,112*,43.55,1,3,England
"RS Bopara, JC Buttler",2013-2015,2013,2015,14,0,390,133,27.85,1,1,England
"SM Davies, AJ Strauss",2010-2011,2010,2011,7,0,390,113,55.71,1,2,England
"GA Gooch, RT Robinson",1985-1988,1985,1988,13,0,390,123,30.00,1,1,England
"A Flintoff, ME Trescothick",2000-2005,2000,2005,10,0,387,110,38.70,1,1,England
"IR Bell, EC Joyce",2007-2007,2007,2007,11,0,382,111,34.72,1,2,England
"BC Broad, AJ Lamb",1987-1987,1987,1987,8,0,377,116,47.12,1,2,England
"CWJ Athey, MW Gatting",1980-1987,1980,1987,7,1,370,135,61.66,1,2,England
"MM Ali, EJG Morgan",2014-2018,2014,2018,7,0,369,117,52.71,1,3,England
"RS Bopara, KP Pietersen",2007-2011,2007,2011,12,1,360,80,32.72,0,3,England
"NH Fairbrother, GP Thorpe",1994-1999,1994,1999,12,1,353,60,32.09,0,3,England
"A Flintoff, MP Vaughan",2002-2005,2002,2005,7,2,350,100*,70.00,2,1,England
"G Boycott, DI Gower",1979-1981,1979,1981,7,1,348,97,58.00,0,3,England
"JC Buttler, JWA Taylor",2015-2015,2015,2015,5,1,341,125,85.25,2,1,England
"IT Botham, MW Gatting",1980-1987,1980,1987,17,3,339,84,24.21,0,1,England
"AN Cook, P Mustard",2007-2008,2007,2008,10,0,339,158,33.90,1,0,England
"MA Atherton, NV Knight",1996-1998,1996,1998,9,2,337,132,48.14,1,1,England
"C Kieswetter, AJ Strauss",2010-2010,2010,2010,9,0,337,121,37.44,1,1,England
"G Fowler, DI Gower",1983-1986,1983,1986,9,1,336,78,42.00,0,3,England
"KP Pietersen, MP Vaughan",2004-2007,2004,2007,9,1,336,80,42.00,0,4,England
"PD Collingwood, JWM Dalrymple",2006-2007,2006,2007,10,0,327,101,32.70,1,1,England
"RS Bopara, SCJ Broad",2007-2015,2007,2015,11,3,324,99*,40.50,0,2,England
"DL Amiss, KWR Fletcher",1972-1975,1972,1975,3,0,323,176,107.66,2,0,England
"JE Root, JWA Taylor",2014-2015,2014,2015,7,0,316,104,45.14,1,2,England
"VS Solanki, AJ Strauss",2004-2006,2004,2006,9,0,310,64,34.44,0,4,England
"EJG Morgan, LJ Wright",2009-2013,2009,2013,10,0,309,98,30.90,0,2,England
"NV Knight, GP Thorpe",1996-2002,1996,2002,8,0,305,72,38.12,0,4,England
"BC Broad, MW Gatting",1987-1988,1987,1988,10,1,303,70,33.66,0,2,England
"AJ Lamb, DW Randall",1982-1984,1982,1984,8,0,299,139,37.37,1,0,England
"MM Ali, CR Woakes",2014-2018,2014,2018,10,3,295,117,42.14,1,1,England
"C Kieswetter, KP Pietersen",2010-2013,2010,2013,6,0,294,109,49.00,1,2,England
"VS Solanki, MP Vaughan",2003-2004,2003,2004,10,0,286,87,28.60,0,2,England
"MW Gatting, DI Gower",1981-1989,1981,1989,11,0,284,110,25.81,1,0,England
"IR Bell, ME Trescothick",2006-2006,2006,2006,6,0,281,142,46.83,1,1,England
"AN Cook, MJ Prior",2007-2007,2007,2007,9,0,278,76,30.88,0,2,England
"PD Collingwood, MJ Prior",2005-2011,2005,2011,12,2,277,64,27.70,0,2,England
"RS Bopara, TT Bresnan",2010-2014,2010,2014,11,3,273,60,34.12,0,2,England
"JL Denly, AJ Strauss",2009-2009,2009,2009,8,0,268,106,33.50,1,1,England
"RS Bopara, PD Collingwood",2007-2011,2007,2011,13,1,267,81,22.25,0,2,England
"NH Fairbrother, AJ Hollioake",1998-1999,1998,1999,6,1,267,112,53.40,1,1,England
"A Flintoff, GA Hick",1999-2001,1999,2001,4,1,266,94,88.66,0,3,England
"KP Pietersen, VS Solanki",2005-2005,2005,2005,5,0,261,93,52.20,0,3,England
"AJ Lamb, AJ Stewart",1989-1992,1989,1992,7,0,258,130,36.85,1,1,England
"JM Brearley, GA Gooch",1978-1980,1978,1980,7,0,256,108,36.57,1,2,England
"MA Ealham, GA Hick",1996-2001,1996,2001,7,1,256,90*,42.66,0,2,England
"DL Amiss, G Boycott",1972-1973,1972,1973,5,0,254,96,50.80,0,2,England
"JM Bairstow, BA Stokes",2015-2017,2015,2017,6,1,254,103,50.80,1,1,England
"PD Collingwood, AJ Stewart",2001-2003,2001,2003,10,0,253,66,25.30,0,2,England
"JE Emburey, AJ Lamb",1987-1987,1987,1987,9,1,251,69,31.37,0,1,England
"C Kieswetter, EJG Morgan",2010-2012,2010,2012,6,2,251,83,62.75,0,2,England
"GA Gooch, GA Hick",1992-1994,1992,1994,6,0,244,64,40.66,0,3,England
"A Flintoff, AJ Stewart",2000-2003,2000,2003,6,0,242,90,40.33,0,2,England
"JM Bairstow, EJG Morgan",2015-2018,2015,2018,7,0,241,84,34.42,0,2,England
"RS Bopara, OA Shah",2007-2009,2007,2009,11,0,241,75,21.90,0,2,England
"PD Collingwood, IJL Trott",2009-2011,2009,2011,7,0,241,162,34.42,1,0,England
"AJ Hollioake, GP Thorpe",1997-1998,1997,1998,5,2,241,135*,80.33,1,0,England
"NV Knight, MP Vaughan",2001-2003,2001,2003,7,0,239,89,34.14,0,2,England
"IT Botham, CJ Tavare",1980-1983,1980,1983,8,0,238,75,29.75,0,1,England
"MA Ealham, GP Thorpe",1997-2000,1997,2000,7,0,234,63,33.42,0,2,England
"AN Cook, JE Root",2013-2014,2013,2014,7,0,233,75,33.28,0,3,England
"DL Amiss, B Wood",1975-1976,1975,1976,6,0,232,158,38.66,1,1,England
"PD Collingwood, MP Vaughan",2002-2005,2002,2005,12,1,232,62,21.09,0,1,England
"TT Bresnan, GP Swann",2009-2013,2009,2013,13,1,230,37,19.16,0,0,England
"A Flintoff, GP Thorpe",1999-2002,1999,2002,9,0,230,138,25.55,1,0,England
"N Hussain, MP Vaughan",2002-2003,2002,2003,8,0,230,69,28.75,0,2,England
"OA Shah, LJ Wright",2007-2009,2007,2009,4,0,230,106,57.50,1,1,England
"GO Jones, MP Vaughan",2004-2005,2004,2005,9,0,227,150,25.22,1,0,England
"EJG Morgan, KP Pietersen",2011-2013,2011,2013,6,1,227,76,45.40,0,3,England
"RS Bopara, JE Root",2014-2015,2014,2015,8,0,224,86,28.00,0,1,England
"PD Collingwood, ME Trescothick",2001-2006,2001,2006,10,0,216,61,21.60,0,1,England
"G Cook, GA Gooch",1981-1982,1981,1982,4,0,215,109,53.75,1,1,England
"G Boycott, DW Randall",1978-1979,1978,1979,10,0,213,78,21.30,0,2,England
"BC Broad, DI Gower",1987-1987,1987,1987,11,0,213,61,19.36,0,1,England
"AD Brown, NV Knight",1998-2001,1998,2001,7,0,212,114,30.28,1,0,England
"MW Gatting, DR Pringle",1986-1988,1986,1988,4,1,211,85,70.33,0,2,England
"IR Bell, MP Vaughan",2004-2007,2004,2007,7,0,210,111,30.00,1,0,England
"GO Jones, KP Pietersen",2004-2006,2004,2006,7,1,210,120,35.00,1,0,England
"JC Buttler, AU Rashid",2015-2017,2015,2017,2,0,207,177,103.50,1,0,England
"MM Ali, JE Root",2014-2018,2014,2018,14,1,206,78,15.84,0,1,England
"NV Knight, MR Ramprakash",1998-2001,1998,2001,6,1,205,67,41.00,0,2,England
"IR Bell, OA Shah",2007-2008,2007,2008,7,0,204,43,29.14,0,0,England
"A Flintoff, VS Solanki",2003-2006,2003,2006,6,1,204,79,40.80,0,2,England
"GO Jones, ME Trescothick",2004-2005,2004,2005,8,0,201,52,25.12,0,1,England
"AN Cook, AD Hales",2014-2014,2014,2014,5,0,200,82,40.00,0,2,England
"OA Shah, ME Trescothick",2001-2003,2001,2003,3,0,199,170,66.33,1,0,England
"DL Amiss, JM Brearley",1977-1977,1977,1977,3,0,197,161,65.66,1,0,England
"IT Botham, DW Randall",1976-1984,1976,1984,9,1,196,57,24.50,0,1,England
"RA Smith, GP Thorpe",1993-1996,1993,1996,4,0,196,142,49.00,1,0,England
"MM Ali, BA Stokes",2014-2017,2014,2017,9,0,191,73,21.22,0,2,England
"C Kieswetter, IJL Trott",2010-2012,2010,2012,11,0,188,47,17.09,0,0,England
"GS Ballance, IR Bell",2014-2015,2014,2015,7,0,184,79,26.28,0,1,England
"NH Fairbrother, MW Gatting",1988-1993,1988,1993,6,0,183,75,30.50,0,1,England
"W Larkins, RA Smith",1989-1990,1989,1990,9,0,183,51,20.33,0,2,England
"IT Botham, BC Broad",1987-1987,1987,1987,5,0,182,91,36.40,0,1,England
"TT Bresnan, EJG Morgan",2009-2014,2009,2014,8,1,180,71,25.71,0,2,England
"DI Gower, CT Radley",1978-1978,1978,1978,3,0,179,105,59.66,1,1,England
"AD Hales, EJG Morgan",2014-2018,2014,2018,8,0,179,60,22.37,0,2,England
"JJ Roy, JWA Taylor",2015-2015,2015,2015,4,0,179,72,44.75,0,1,England
"BA Stokes, CR Woakes",2014-2017,2014,2017,5,1,178,73,44.50,0,1,England
"G Boycott, JM Brearley",1978-1979,1978,1979,10,0,177,129,17.70,1,0,England
"IT Botham, GA Hick",1992-1992,1992,1992,4,1,176,84,58.66,0,2,England
"G Fowler, AJ Lamb",1983-1984,1983,1984,2,1,176,106*,176.00,1,1,England
"CJ Tavare, B Wood",1982-1982,1982,1982,2,0,176,133,88.00,1,0,England
"MM Ali, AN Cook",2014-2014,2014,2014,7,0,174,84,24.85,0,2,England
"PAJ DeFreitas, JE Emburey",1987-1993,1987,1993,10,3,174,25,24.85,0,0,England
"IR Bell, VS Solanki",2004-2006,2004,2006,4,0,172,138,43.00,1,0,England
"EJG Morgan, OA Shah",2009-2009,2009,2009,4,0,171,76,42.75,0,1,England
"IR Bell, JWA Taylor",2015-2015,2015,2015,3,2,168,131*,168.00,1,0,England
"AJ Stewart, MP Vaughan",2001-2003,2001,2003,6,0,166,63,27.66,0,2,England
"A Flintoff, OA Shah",2002-2008,2002,2008,4,1,165,82,55.00,0,1,England
"AF Giles, KP Pietersen",2004-2005,2004,2005,4,1,165,104,55.00,1,0,England
"RC Irani, NV Knight",1996-2003,1996,2003,10,0,165,73,16.50,0,2,England
"MM Ali, MJ Lumb",2014-2014,2014,2014,3,0,162,96,54.00,0,1,England
"PA Nixon, LE Plunkett",2007-2007,2007,2007,5,1,162,76,40.50,0,2,England
"BC Hollioake, AJ Stewart",1997-2001,1997,2001,3,0,161,91,53.66,0,2,England
"BM Duckett, BA Stokes",2016-2016,2016,2016,2,0,160,153,80.00,1,0,England
"AN Cook, ME Trescothick",2006-2006,2006,2006,2,0,159,82,79.50,0,2,England
"TT Bresnan, LJ Wright",2009-2011,2009,2011,4,1,158,107,52.66,1,0,England
"GS Ballance, JE Root",2014-2015,2014,2015,6,0,156,84,26.00,0,1,England
"ID Blackwell, PD Collingwood",2002-2006,2002,2006,12,2,156,33,15.60,0,0,England
"IR Bell, JWM Dalrymple",2006-2006,2006,2006,3,0,155,68,51.66,0,2,England
"ID Blackwell, AJ Stewart",2002-2003,2002,2003,3,0,155,104,51.66,1,1,England
"PD Collingwood, C White",2002-2003,2002,2003,3,0,155,110,51.66,1,0,England
"KP Pietersen, MJ Prior",2005-2008,2005,2008,5,0,155,53,31.00,0,1,England
"NH Fairbrother, DA Reeve",1992-1996,1992,1996,5,1,153,48*,38.25,0,0,England
"GA Hick, AJ Lamb",1991-1992,1991,1992,4,0,153,102,38.25,1,0,England
"GA Hick, ME Trescothick",2000-2001,2000,2001,4,0,153,106,38.25,1,0,England
"EC Joyce, AJ Strauss",2006-2007,2006,2007,5,0,152,43,30.40,0,0,England
"PD Collingwood, N Hussain",2002-2003,2002,2003,4,0,151,82,37.75,0,2,England
"KWR Fletcher, MW Gatting",1981-1982,1981,1982,4,0,151,65,37.75,0,1,England
"A Flintoff, N Hussain",2000-2002,2000,2002,4,0,151,80,37.75,0,1,England
"RC Irani, AJ Stewart",1997-2003,1997,2003,5,0,151,95,30.20,0,1,England
"PD Collingwood, PA Nixon",2007-2007,2007,2007,4,3,150,51,150.00,0,1,England
"JP Crawley, AJ Stewart",1997-1997,1997,1997,3,0,150,80,50.00,0,2,England
"JH Edrich, KWR Fletcher",1971-1974,1971,1974,2,0,149,83,74.50,0,2,England
"NH Fairbrother, CC Lewis",1992-1993,1992,1993,5,1,149,50,37.25,0,2,England
"SR Patel, IJL Trott",2011-2012,2011,2012,4,1,149,103*,49.66,1,0,England
"AD Brown, AJ Stewart",1997-1997,1997,1997,4,0,148,71,37.00,0,1,England
"AN Cook, EJG Morgan",2010-2014,2010,2014,7,0,148,41,21.14,0,0,England
"IT Botham, KWR Fletcher",1981-1982,1981,1982,4,0,147,80,36.75,0,1,England
"MW Gatting, RT Robinson",1984-1988,1984,1988,4,0,147,49,36.75,0,0,England
"AJ Lamb, DR Pringle",1984-1989,1984,1989,4,1,147,88*,49.00,0,1,England
"JH Edrich, D Lloyd",1974-1974,1974,1974,4,0,146,47,36.50,0,0,England
"EJG Morgan, MJ Prior",2009-2010,2009,2010,2,1,145,90,145.00,0,2,England
"MH Denness, KWR Fletcher",1973-1975,1973,1975,6,0,144,66,24.00,0,1,England
"JM Bairstow, AU Rashid",2015-2017,2015,2017,3,1,142,88,71.00,0,2,England
"IT Botham, RA Smith",1989-1992,1989,1992,6,1,142,65,28.40,0,1,England
"G Fowler, TA Lloyd",1984-1984,1984,1984,3,0,142,75,47.33,0,2,England
"GA Hick, DL Maddy",2000-2000,2000,2000,4,0,142,64,35.50,0,2,England
"KWR Fletcher, AW Greig",1972-1975,1972,1975,6,1,141,59*,28.20,0,1,England
"GP Thorpe, C White",1996-2002,1996,2002,9,2,141,54,20.14,0,1,England
"PD Collingwood, LJ Wright",2008-2010,2008,2010,4,0,140,56,35.00,0,1,England
"GP Thorpe, ME Trescothick",2000-2002,2000,2002,5,0,140,52,28.00,0,1,England
"CWJ Athey, DI Gower",1986-1987,1986,1987,5,0,139,54,27.80,0,1,England
"IR Bell, AD Hales",2014-2015,2014,2015,3,0,139,83,46.33,0,2,England
"JP Crawley, GA Hick",1994-1999,1994,1999,4,1,139,74*,46.33,0,1,England
"MJ Prior, IJL Trott",2011-2011,2011,2011,2,0,139,113,69.50,1,0,England
"R Clarke, CMW Read",2003-2006,2003,2006,7,0,138,53,19.71,0,1,England
"AW Greig, APE Knott",1972-1977,1972,1977,4,0,137,77,34.25,0,1,England
"MW Alleyne, MA Ealham",1999-2000,1999,2000,3,0,135,74,45.00,0,2,England
"GA Hick, AJ Hollioake",1997-1998,1997,1998,4,0,134,75,33.50,0,1,England
"SR Patel, KP Pietersen",2008-2013,2008,2013,3,0,134,71,44.66,0,2,England
"EJG Morgan, MH Yardy",2010-2011,2010,2011,5,1,133,50,33.25,0,1,England
"DJ Capel, NH Fairbrother",1988-1988,1988,1988,3,1,132,78,66.00,0,1,England
"PD Collingwood, GP Swann",2008-2011,2008,2011,5,0,132,65,26.40,0,1,England
"RDB Croft, NH Fairbrother",1999-1999,1999,1999,5,1,132,55,33.00,0,1,England
"PAJ DeFreitas, AJ Stewart",1989-1996,1989,1996,5,1,131,54*,32.75,0,2,England
"KWR Fletcher, CM Old",1973-1975,1973,1975,3,0,131,66,43.66,0,1,England
"JM Bairstow, JC Buttler",2016-2017,2016,2017,4,1,130,79,43.33,0,1,England
"RS Bopara, GP Swann",2007-2011,2007,2011,6,0,130,50,21.66,0,1,England
"JC Buttler, CJ Jordan",2014-2014,2014,2014,3,1,129,54*,64.50,0,1,England
"DR Brown, MA Ealham",1997-1998,1997,1998,6,1,128,48,25.60,0,0,England
"G Fowler, MD Moxon",1985-1985,1985,1985,3,0,127,70,42.33,0,1,England
"SJ Rhodes, GP Thorpe",1994-1995,1994,1995,2,0,127,70,63.50,0,2,England
"SCJ Broad, GP Swann",2007-2011,2007,2011,10,2,126,40,15.75,0,0,England
"IJ Gould, DI Gower",1983-1983,1983,1983,4,0,126,98,31.50,0,1,England
"DI Gower, TE Jesty",1983-1983,1983,1983,5,0,126,74,25.20,0,1,England
"MA Atherton, AJ Lamb",1990-1991,1990,1991,3,0,125,71,41.66,0,1,England
"RS Bopara, MJ Prior",2009-2011,2009,2011,4,0,125,61,31.25,0,1,England
"PR Downton, AJ Lamb",1985-1987,1985,1987,7,1,125,42,20.83,0,0,England
"NH Fairbrother, AJ Lamb",1991-1992,1991,1992,4,0,125,72,31.25,0,1,England
"EJG Morgan, JJ Roy",2015-2017,2015,2017,4,0,124,54,31.00,0,1,England
"OA Shah, GP Swann",2007-2008,2007,2008,4,0,124,70,31.00,0,1,England
"MJ Lumb, JE Root",2014-2014,2014,2014,2,0,123,74,61.50,0,1,England
"SW Billings, JJ Roy",2017-2017,2017,2017,3,0,122,98,40.66,0,1,England
"IT Botham, AJ Stewart",1992-1992,1992,1992,4,0,122,63,30.50,0,1,England
"JE Emburey, CJ Richards",1987-1988,1987,1988,5,0,122,38,24.40,0,0,England
"EC Joyce, MP Vaughan",2007-2007,2007,2007,6,0,122,101,20.33,1,0,England
"KP Pietersen, JE Root",2013-2013,2013,2013,3,0,122,78,40.66,0,1,England
"MM Ali, JWA Taylor",2014-2015,2014,2015,8,1,121,34,17.28,0,0,England
"A Flintoff, NV Knight",2002-2003,2002,2003,3,0,120,80,40.00,0,1,England
"GO Jones, AJ Strauss",2004-2005,2004,2005,3,0,120,82,40.00,0,1,England
"EC Joyce, MB Loye",2007-2007,2007,2007,4,0,120,58,30.00,0,1,England
"JJ Roy, JM Vince",2016-2016,2016,2016,3,0,120,67,40.00,0,1,England
"TT Bresnan, PD Collingwood",2009-2011,2009,2011,6,1,119,65,23.80,0,1,England
"MA Ealham, NV Knight",1998-2001,1998,2001,5,0,119,66,23.80,0,1,England
"A McGrath, ME Trescothick",2003-2003,2003,2003,3,0,119,114,39.66,1,0,England
"DL Amiss, GD Barlow",1976-1977,1976,1977,5,0,118,49,23.60,0,0,England
"GS Ballance, EJG Morgan",2014-2014,2014,2014,4,0,118,83,29.50,0,1,England
"KJ Barnett, AJ Lamb",1988-1988,1988,1988,1,0,118,118,118.00,1,0,England
"PD Collingwood, AF Giles",2003-2004,2003,2004,3,0,118,75,39.33,0,1,England
"PD Collingwood, RC Irani",2002-2003,2002,2003,4,1,117,45,39.00,0,0,England
"A Flintoff, A McGrath",2003-2003,2003,2003,4,1,117,46,39.00,0,0,England
"CC Lewis, DA Reeve",1992-1993,1992,1993,5,2,116,45*,38.66,0,0,England
"AJ Stewart, C White",1997-2003,1997,2003,4,0,116,63,29.00,0,2,England
"NA Foster, AJ Lamb",1984-1987,1984,1987,4,1,115,47,38.33,0,0,England
"BC Hollioake, NV Knight",1998-2001,1998,2001,5,0,115,50,23.00,0,1,England
"JM Brearley, DW Randall",1977-1979,1977,1979,4,0,114,79,28.50,0,1,England
